id	title	focus_paths
01	Core workflow taxonomy	README.md docs/usage.md skills/humanize/SKILL.md skills/humanize-rlcr/SKILL.md
02	RLCR setup state initialization	scripts/setup-rlcr-loop.sh hooks/lib/loop-common.sh tests/test-setup-scripts-robustness.sh
03	Stop-hook state machine	hooks/loop-codex-stop-hook.sh scripts/rlcr-stop-gate.sh tests/test-stop-gate.sh
04	Implementation-phase prompt and summary contract	prompt-template/claude/next-round-prompt.md prompt-template/claude/next-round-footer.md prompt-template/claude/goal-tracker-update-request.md prompt-template/block/work-summary-missing.md
05	Full-alignment review cadence and drift detection	prompt-template/codex/full-alignment-review.md hooks/lib/methodology-analysis.sh tests/test-finalize-phase.sh
06	Code-review phase and severity gate	prompt-template/codex/code-review-phase.md hooks/loop-codex-stop-hook.sh tests/test-codex-review-merge.sh prompt-template/block/codex-review-failed.md
07	Finalize and methodology-analysis phases	prompt-template/claude/finalize-phase-prompt.md prompt-template/claude/finalize-phase-skipped-prompt.md hooks/lib/methodology-analysis.sh
08	Loop-common parsing and active-loop selection	hooks/lib/loop-common.sh hooks/lib/project-root.sh tests/test-session-id.sh tests/robustness/test-session-robustness.sh
09	Background task short-circuit algorithm	hooks/lib/loop-bg-tasks.sh tests/test-stop-hook-bg-allow.sh tests/test-monitor-e2e-sigint.sh
10	Bash validator command safety rules	hooks/loop-bash-validator.sh prompt-template/block/git-add-humanize.md prompt-template/block/git-push.md tests/test-bash-validator-patterns.sh
11	Edit/write/read validator protected surfaces	hooks/loop-edit-validator.sh hooks/loop-write-validator.sh hooks/loop-read-validator.sh tests/test-allowlist-validators.sh
12	Plan-file validator and plan integrity hooks	hooks/loop-plan-file-validator.sh prompt-template/block/plan-file-modified.md tests/test-plan-file-hooks.sh tests/test-plan-file-validation.sh
13	Todo transcript checker	hooks/check-todos-from-transcript.py tests/test-todo-checker.sh prompt-template/block/incomplete-todos.md
14	Config merge algorithm	scripts/lib/config-loader.sh config/default_config.json tests/test-config-merge.sh tests/test-config-error-handling.sh
15	Model router and task-tag routing	scripts/lib/model-router.sh tests/test-model-router.sh tests/test-task-tag-routing.sh commands/gen-plan.md
16	ask-codex execution wrapper	scripts/ask-codex.sh skills/ask-codex/SKILL.md tests/test-ask-codex.sh
17	ask-gemini execution wrapper	scripts/ask-gemini.sh skills/ask-gemini/SKILL.md docs/usage.md
18	Gen-plan convergence algorithm	commands/gen-plan.md prompt-template/plan/gen-plan-template.md scripts/validate-gen-plan-io.sh tests/test-gen-plan.sh
19	Refine-plan comment extraction and validation	commands/refine-plan.md prompt-template/plan/refine-plan-qa-template.md scripts/validate-refine-plan-io.sh tests/test-refine-plan.sh
20	Gen-idea multi-candidate ideation	commands/gen-idea.md prompt-template/idea/gen-idea-template.md scripts/validate-gen-idea-io.sh
21	Agent Teams parallelization prompt	agents/plan-compliance-checker.md agents/draft-relevance-checker.md prompt-template/claude/agent-teams-core.md prompt-template/claude/agent-teams-instructions.md prompt-template/claude/agent-teams-continue.md
22	BitLesson selector routing	agents/bitlesson-selector.md scripts/bitlesson-select.sh tests/test-bitlesson-select-routing.sh docs/bitlesson.md
23	BitLesson delta validation algorithm	scripts/bitlesson-validate-delta.sh docs/bitlesson.md tests/test-bitlesson-validate-delta.sh
24	Monitor runtime status model	scripts/humanize.sh scripts/lib/monitor-common.sh tests/test-monitor-runtime.sh tests/test-monitor-e2e-real.sh
25	Skill monitor and telemetry parsing	scripts/lib/monitor-skill.sh scripts/statusline.sh tests/test-skill-monitor.sh tests/test-ansi-parsing.sh
26	Cancel and cleanup semantics	scripts/cancel-rlcr-loop.sh commands/cancel-rlcr-loop.md tests/test-cancel-signal-file.sh tests/robustness/test-cancel-security-robustness.sh
27	Git branch, cleanliness, and push gates	hooks/loop-codex-stop-hook.sh prompt-template/block/git-not-clean.md prompt-template/block/unpushed-commits.md tests/robustness/test-git-operations-robustness.sh
28	Path validation and injection resistance	hooks/lib/project-root.sh scripts/setup-rlcr-loop.sh hooks/loop-bash-validator.sh tests/robustness/test-path-validation-robustness.sh
29	Test suite as executable algorithm spec	tests/run-all-tests.sh tests/test-stop-hook-bg-allow.sh tests/test-finalize-phase.sh tests/robustness/test-state-transition-robustness.sh
30	Core subset synthesis and skip list	README.md docs/usage.md commands/start-rlcr-loop.md commands/gen-plan.md scripts/setup-rlcr-loop.sh hooks/loop-codex-stop-hook.sh
